Enhetsnamn;Årskurs;Kön;Skolform;År;Månad;Total schemalagd tid;Närvarande;Total frånvaro;Giltig frånvaro;Ogiltig frånvaro;Ej registrerad
Askimsskolan F-6;4;Pojke;Grundskola;2026;1;163620;143054;15661;15240;421;4905
Askimsskolan F-6;4;Flicka;Grundskola;2026;2;106400;95395;8180;8100;80;2825
Askimsskolan F-6;4;Pojke;Grundskola;2026;2;134655;118920;11830;11750;80;3905
Askimsskolan F-6;4;Pojke;Grundskola;2026;3;182945;163874;14791;14560;231;4280
Askimsskolan F-6;4;Flicka;Grundskola;2026;3;144315;127650;12415;12400;15;4250
Askimsskolan F-6;4;Pojke;Grundskola;2026;4;18955;17195;980;900;80;780
Askimsskolan F-6;4;Flicka;Grundskola;2026;4;14750;12910;1300;1300;0;540
Askimsskolan F-6;5;Pojke;Grundskola;2025;8;108480;98827;8998;8960;38;655
Askimsskolan F-6;5;Flicka;Grundskola;2025;8;77845;71275;5220;5220;0;1350
Askimsskolan F-6;5;Flicka;Grundskola;2025;9;182555;148865;15975;11080;4895;17715
Askimsskolan F-6;5;Pojke;Grundskola;2025;9;253350;209365;20700;20700;0;23285
Askimsskolan F-6;5;Flicka;Grundskola;2025;10;166315;130990;20080;15055;5025;15245
Askimsskolan F-6;5;Pojke;Grundskola;2025;10;224510;195339;13991;13405;586;15180
Askimsskolan F-6;5;Pojke;Grundskola;2025;11;256305;217665;14310;13810;500;24330
Askimsskolan F-6;5;Flicka;Grundskola;2025;11;177230;149645;13175;12790;385;14410
Askimsskolan F-6;5;Pojke;Grundskola;2025;12;182170;148020;16595;16355;240;17555
Askimsskolan F-6;5;Flicka;Grundskola;2025;12;126490;108010;7280;7145;135;11200
Askimsskolan F-6;5;Pojke;Grundskola;2026;1;205865;167525;25830;25455;375;12510
Askimsskolan F-6;5;Flicka;Grundskola;2026;1;138650;109735;20995;20835;160;7920
Askimsskolan F-6;5;Pojke;Grundskola;2026;2;171200;153690;10740;10560;180;6770
Askimsskolan F-6;5;Flicka;Grundskola;2026;2;115190;97990;12620;12570;50;4580
Askimsskolan F-6;5;Pojke;Grundskola;2026;3;233785;178915;20220;19690;530;34650
Askimsskolan F-6;5;Flicka;Grundskola;2026;3;157705;122725;11910;11860;50;23070
Askimsskolan F-6;5;Flicka;Grundskola;2026;4;15920;4350;310;310;0;11260
Askimsskolan F-6;5;Pojke;Grundskola;2026;4;23440;7970;830;830;0;14640
Askimsskolan F-6;6;Flicka;Grundskola;2025;8;79865;71685;4170;4065;105;4010
Askimsskolan F-6;6;Pojke;Grundskola;2025;8;75605;66875;5170;5065;105;3560
Askimsskolan F-6;6;Pojke;Grundskola;2025;9;174160;144344;16981;16550;431;12835
Askimsskolan F-6;6;Flicka;Grundskola;2025;9;185190;149110;21570;21145;425;14510
Askimsskolan F-6;6;Pojke;Grundskola;2025;10;152580;137193;12797;12560;237;2590
Askimsskolan F-6;6;Flicka;Grundskola;2025;10;164295;153582;7718;7380;338;2995
Askimsskolan F-6;6;Flicka;Grundskola;2025;11;183710;160503;16217;15460;757;6990
Askimsskolan F-6;6;Pojke;Grundskola;2025;11;171595;149809;15776;15315;461;6010
Askimsskolan F-6;6;Pojke;Grundskola;2025;12;121490;99787;17518;17240;278;4185
Askimsskolan F-6;6;Flicka;Grundskola;2025;12;129645;105510;19305;18980;325;4830
Askimsskolan F-6;6;Pojke;Grundskola;2026;1;136750;113051;17849;17120;729;5850
Askimsskolan F-6;6;Flicka;Grundskola;2026;1;141595;120448;14882;14463;419;6265
Askimsskolan F-6;6;Pojke;Grundskola;2026;2;112885;96599;8511;8320;191;7775
Askimsskolan F-6;6;Flicka;Grundskola;2026;2;116090;95750;12705;12535;170;7635
Askimsskolan F-6;6;Pojke;Grundskola;2026;3;156030;137360;12950;12105;845;5720
Askimsskolan F-6;6;Flicka;Grundskola;2026;3;161335;144515;11495;11250;245;5325
Askimsskolan F-6;6;Pojke;Grundskola;2026;4;16540;12655;1595;1595;0;2290
Askimsskolan F-6;6;Flicka;Grundskola;2026;4;17200;13050;1900;1855;45;2250
Asperöskolan F-3;0;Pojke;Grundskola;2025;8;16030;12870;220;220;0;2940
Asperöskolan F-3;0;Flicka;Grundskola;2025;8;9160;6870;610;610;0;1680
Asperöskolan F-3;0;Pojke;Grundskola;2025;9;33460;26720;405;405;0;6335
Asperöskolan F-3;0;Flicka;Grundskola;2025;9;19120;13050;2450;2450;0;3620
